Month;Day;Email Answer ?24h;Email Answer >24h;Email Not Answer;SL 90/30s;;"Forecast 
Contact Received";"Real 
Contact Received";"Real 
Contact Offered";"(%) Gap 
Contact Received";"Real
Contact Answer";"Real
Contact Answer 30''";"Real
Contact Abandoned";"(%)
Abandoned";"Real
Shortcalls 10""";"(%)
Shortcalls";;Forecast AWT;AWT;Minutes AWT;"(%) Gap 
Awt";Forecast AHT;AHT;Minutes AHT;"(%) Gap
AHT"
Total;;81,86%;4,47%;13,66%;0,00%;;0;1.632;1.632;;1.527;0;0;0,00%;0;0,00%;;86.400;32.534;09:13:46;-62,35%;228;0;00:00:00;-100,00%
01/09/2019;Dom;74,73%;0,22%;25,05%;0,00%;;0;459;459;#N/A;459;0;0;0,00%;0;0,00%;;86.400;2.290;00:38:59;-97,35%;228;0;00:00:00;-100,00%
02/09/2019;Seg;90,93%;8,82%;0,25%;0,00%;;0;816;816;;816;0;0;0,00%;0;0,00%;;86.400;43.995;12:28:51;-49,08%;228;0;00:00:00;-100,00%
03/09/2019;Ter;70,31%;0,00%;29,69%;0,00%;;0;357;357;;252;0;0;0,00%;0;0,00%;;86.400;45.220;12:49:42;-47,66%;228;0;00:00:00;-100,00%
04/09/2019;Qua;;;;;;;;;;;;;;;;;;;;;;;;
05/09/2019;Qui;;;;;;;;;;;;;;;;;;;;;;;;
06/09/2019;Sex;;;;;;;;;;;;;;;;;;;;;;;;
07/09/2019;Sáb;;;;;;;;;;;;;;;;;;;;;;;;
08/09/2019;Dom;;;;;;;;;;;;;;;;;;;;;;;;
09/09/2019;Seg;;;;;;;;;;;;;;;;;;;;;;;;
10/09/2019;Ter;;;;;;;;;;;;;;;;;;;;;;;;
11/09/2019;Qua;;;;;;;;;;;;;;;;;;;;;;;;
12/09/2019;Qui;;;;;;;;;;;;;;;;;;;;;;;;
13/09/2019;Sex;;;;;;;;;;;;;;;;;;;;;;;;
14/09/2019;Sáb;;;;;;;;;;;;;;;;;;;;;;;;
15/09/2019;Dom;;;;;;;;;;;;;;;;;;;;;;;;
16/09/2019;Seg;;;;;;;;;;;;;;;;;;;;;;;;
17/09/2019;Ter;;;;;;;;;;;;;;;;;;;;;;;;
18/09/2019;Qua;;;;;;;;;;;;;;;;;;;;;;;;
19/09/2019;Qui;;;;;;;;;;;;;;;;;;;;;;;;
20/09/2019;Sex;;;;;;;;;;;;;;;;;;;;;;;;
21/09/2019;Sáb;;;;;;;;;;;;;;;;;;;;;;;;
22/09/2019;Dom;;;;;;;;;;;;;;;;;;;;;;;;
23/09/2019;Seg;;;;;;;;;;;;;;;;;;;;;;;;
24/09/2019;Ter;;;;;;;;;;;;;;;;;;;;;;;;
25/09/2019;Qua;;;;;;;;;;;;;;;;;;;;;;;;
26/09/2019;Qui;;;;;;;;;;;;;;;;;;;;;;;;
27/09/2019;Sex;;;;;;;;;;;;;;;;;;;;;;;;
28/09/2019;Sáb;;;;;;;;;;;;;;;;;;;;;;;;
29/09/2019;Dom;;;;;;;;;;;;;;;;;;;;;;;;
30/09/2019;Seg;;;;;;;;;;;;;;;;;;;;;;;;
01/10/2019;Ter;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;00:00:00;
;;;;;;;;;;;;;;;;;;;;;;;;00:00:00;
;;;;;;;;;;;;;;;;;;;;;;;;00:00:00;
;;;;;;;;;;;;;;;;;;;;;;;;00:00:00;
;;;;;;;;;;;;;;;;;;;;;;;;00:00:00;
;;;;;;;;;;;;;;;;;;;;;;;;00:00:00;
;;;;;;;;;;;;;;;;;;;;;;;;00:00:00;
;;;;;;;;;;;;;;;;;;;;;;;;00:00:00;
;;;;;;;;;;;;;;;;;;;;;;;;00:00:00;
;;;;;;;;;;;;;;;;;;;;;;;;00:00:00;
